age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks
22,single,m,straight,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75,-1,transportation,2012-06-28-20-30,"south san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,gemini,sometimes,english
35,single,m,straight,average,mostly other,often,sometimes,working on space camp,white,70,80000,hospitality / travel,2012-06-29-21-41,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism but not too serious about it,cancer,no,"english (fluently), spanish (poorly), french (poorly)"
38,available,m,straight,thin,anything,socially,,graduated from masters program,,68,-1,,2012-06-27-09-10,"san francisco, california",,has cats,,pisces but it doesn&rsquo;t matter,no,"english, french, c++"
23,single,m,straight,thin,vegetarian,socially,,working on college/university,white,71,20000,student,2012-06-28-14-22,"berkeley, california",doesn't want kids,likes cats,,pisces,no,"english, german (poorly)"
29,single,m,straight,athletic,,socially,never,graduated from college/university,"asian, black, other",66,-1,artistic / musical / writer,2012-06-27-21-26,"san francisco, california",,likes dogs and likes cats,,aquarius,no,english
29,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,67,-1,computer / hardware / software,2012-06-29-19-18,"san francisco, california","doesn't have kids, but might want them",likes cats,atheism,taurus,no,"english (fluently), chinese (okay)"
32,single,f,straight,fit,strictly anything,socially,never,graduated from college/university,"white, other",65,-1,,2012-06-25-20-45,"san francisco, california",,likes dogs and likes cats,,virgo,,english
31,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,65,-1,artistic / musical / writer,2012-06-29-12-30,"san francisco, california","doesn't have kids, but wants them",likes dogs and likes cats,christianity,sagittarius,no,"english, spanish (okay)"
24,single,f,straight,,strictly anything,socially,,graduated from college/university,white,67,-1,,2012-06-29-23-39,"belvedere tiburon, california",doesn't have kids,likes dogs and likes cats,christianity but not too serious about it,gemini but it doesn&rsquo;t matter,when drinking,english
37,single,m,straight,athletic,mostly anything,not at all,never,working on two-year college,white,65,-1,student,2012-06-28-21-08,"san mateo, california",,likes dogs and likes cats,atheism and laughing about it,cancer but it doesn&rsquo;t matter,no,english (fluently)
35,available,m,straight,average,mostly anything,socially,,,white,70,-1,,2012-06-04-14-59,"san francisco, california",,,,taurus,yes,english
28,seeing someone,m,straight,average,mostly anything,socially,never,graduated from college/university,white,72,40000,banking / financial / real estate,2012-05-22-17-05,"daly city, california",,likes cats,christianity and very serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), sign language (poorly)"
24,single,m,straight,,,often,,,white,72,-1,entertainment / media,2012-05-28-21-28,"san francisco, california",doesn't have kids,,other,taurus,,english
30,single,f,straight,skinny,mostly anything,socially,never,graduated from high school,white,66,30000,sales / marketing / biz dev,2012-06-13-16-06,"san francisco, california",,has dogs and likes cats,christianity but not too serious about it,,no,english
29,single,f,straight,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62,50000,other,2012-06-29-08-55,"san leandro, california","doesn't have kids, but wants them",likes dogs and has cats,catholicism,taurus,no,english
39,single,f,straight,fit,strictly anything,socially,,graduated from college/university,white,65,-1,medicine / health,2012-06-29-22-09,"san francisco, california",doesn't have kids,likes dogs and has cats,atheism and laughing about it,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)"
33,single,m,straight,fit,,socially,,working on masters program,white,70,-1,entertainment / media,2012-06-29-16-08,"oakland, california",,likes dogs and likes cats,,pisces but it doesn&rsquo;t matter,sometimes,"english (fluently), c++ (fluently), german (poorly), french (poorly)"
26,single,f,straight,average,,socially,never,working on college/university,hispanic / latin,64,-1,banking / financial / real estate,2012-06-29-21-17,"san francisco, california",doesn't have kids,,,aries and it&rsquo;s fun to think about,no,english
31,single,m,straight,average,mostly vegetarian,rarely,never,graduated from space camp,white,71,-1,medicine / health,2012-06-29-04-04,"san francisco, california",,likes dogs and likes cats,christianity,libra but it doesn&rsquo;t matter,no,english (fluently)
33,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,white,72,-1,science / tech / engineering,2012-06-27-21-41,"san francisco, california",doesn't have kids,likes dogs and likes cats,catholicism but not too serious about it,pisces and it&rsquo;s fun to think about,no,english (fluently)
27,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67,-1,sales / marketing / biz dev,2012-06-26-20-40,"san francisco, california",,likes dogs and dislikes cats,catholicism,libra,no,english (fluently)
22,single,f,straight,athletic,,socially,never,working on college/university,,67,-1,student,2012-06-15-22-56,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,catholicism and somewhat serious about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), italian (okay)"
30,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,69,-1,executive / management,2012-06-28-15-22,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter,no,"english, spanish (poorly)"
30,single,m,straight,thin,strictly vegan,not at all,never,graduated from college/university,white,71,-1,education / academia,2012-05-17-20-23,"san francisco, california",,likes dogs and likes cats,atheism and laughing about it,aquarius but it doesn&rsquo;t matter,no,english
33,single,m,straight,thin,strictly anything,socially,sometimes,graduated from college/university,white,73,-1,artistic / musical / writer,2012-06-29-21-32,"oakland, california",,likes cats,other,scorpio and it matters a lot,sometimes,english
28,single,m,straight,fit,anything,rarely,never,graduated from college/university,"asian, white",70,-1,medicine / health,2012-06-26-01-27,"atherton, california","doesn't have kids, but wants them",has dogs,,gemini and it&rsquo;s fun to think about,no,english
22,single,m,straight,fit,mostly anything,socially,never,working on college/university,"pacific islander, white",72,-1,clerical / administrative,2012-06-10-01-37,"san francisco, california",,likes dogs and dislikes cats,catholicism and laughing about it,leo and it&rsquo;s fun to think about,trying to quit,"english (fluently), tagalog (fluently), japanese (okay)"
22,single,m,straight,average,anything,socially,never,,asian,67,-1,other,2012-06-25-23-06,"oakland, california",,has dogs and dislikes cats,agnosticism and laughing about it,leo and it&rsquo;s fun to think about,no,"english (fluently), other (fluently), thai (poorly)"
30,single,m,straight,fit,,socially,,graduated from masters program,,74,-1,,2012-06-19-01-22,"san francisco, california",,likes dogs and likes cats,atheism and laughing about it,,no,"english, spanish (poorly)"
32,single,m,straight,fit,,socially,sometimes,graduated from college/university,white,68,-1,other,2012-06-29-07-01,"san francisco, california",,,agnosticism and laughing about it,leo but it doesn&rsquo;t matter,no,english
27,single,f,straight,average,anything,socially,,working on college/university,white,64,-1,other,2011-11-10-13-15,"san francisco, california",,,agnosticism,gemini,trying to quit,"english, spanish (poorly)"
27,single,m,straight,athletic,anything,socially,never,graduated from college/university,,72,-1,science / tech / engineering,2012-06-27-23-16,"san francisco, california","doesn't have kids, but wants them",likes dogs,atheism,,no,english
38,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67,-1,computer / hardware / software,2012-05-25-00-04,"san leandro, california",doesn't have kids,,christianity,libra,no,english
20,single,f,straight,average,mostly vegetarian,socially,never,working on college/university,,60,-1,hospitality / travel,2012-06-30-00-00,"san rafael, california",doesn't want kids,has dogs and likes cats,,cancer,no,"english (fluently), spanish (fluently)"
27,single,m,straight,thin,strictly anything,socially,never,graduated from college/university,white,69,-1,entertainment / media,2012-06-24-22-10,"san francisco, california",,likes dogs and likes cats,atheism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter,when drinking,english
26,single,m,straight,athletic,,,never,,white,69,-1,banking / financial / real estate,2012-06-27-00-32,"san francisco, california",,,,,,"english, russian"
32,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,white,69,-1,science / tech / engineering,2012-06-28-09-28,"san francisco, california","doesn't have kids, but wants them",likes dogs and dislikes cats,buddhism but not too serious about it,cancer and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (fluently)"
